"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"09:03:44:01","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:44:02","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:44:03","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:44:04","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:44:05","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:44:06","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:44:07","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:44:08","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:44:09","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:44:10","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:44:11","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:44:12","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:44:13","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:44:14","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:44:15","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:44:16","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:44:17","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:44:18","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:44:19","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:44:20","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:44:21","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:44:22","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:44:23","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:45:00","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:45:01","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:45:02","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:45:03","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:45:04","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:45:05","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:45:06","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:45:07","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:45:08","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:45:09","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:45:10","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:45:11","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:45:12","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:45:13","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:45:14","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:45:15","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
