"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"21:11:31:15","A002C006_230418_R073","","0","","","","-16.2","20.4","ARRI ALEXA Mini"
"21:11:31:16","A002C006_230418_R073","","0","","","","-14.9","20.2","ARRI ALEXA Mini"
"21:11:31:17","A002C006_230418_R073","","0","","","","-14.9","20.2","ARRI ALEXA Mini"
"21:11:31:18","A002C006_230418_R073","","0","","","","-14.4","20.2","ARRI ALEXA Mini"
"21:11:31:19","A002C006_230418_R073","","0","","","","-13.9","20.5","ARRI ALEXA Mini"
"21:11:31:20","A002C006_230418_R073","","0","","","","-13.7","20.5","ARRI ALEXA Mini"
"21:11:31:21","A002C006_230418_R073","","0","","","","-13.7","20.7","ARRI ALEXA Mini"
"21:11:31:22","A002C006_230418_R073","","0","","","","-13.8","21","ARRI ALEXA Mini"
"21:11:31:23","A002C006_230418_R073","","0","","","","-13.9","20.4","ARRI ALEXA Mini"
"21:11:32:00","A002C006_230418_R073","","0","","","","-14.1","20.5","ARRI ALEXA Mini"
"21:11:32:01","A002C006_230418_R073","","0","","","","-14.4","20.9","ARRI ALEXA Mini"
"21:11:32:02","A002C006_230418_R073","","0","","","","-14.4","21.4","ARRI ALEXA Mini"
"21:11:32:03","A002C006_230418_R073","","0","","","","-14.4","21.6","ARRI ALEXA Mini"
"21:11:32:04","A002C006_230418_R073","","0","","","","-14.5","21.3","ARRI ALEXA Mini"
"21:11:32:05","A002C006_230418_R073","","0","","","","-14.7","21","ARRI ALEXA Mini"
"21:11:32:06","A002C006_230418_R073","","0","","","","-14.7","20.7","ARRI ALEXA Mini"
"21:11:32:07","A002C006_230418_R073","","0","","","","-14.7","20.6","ARRI ALEXA Mini"
"21:11:32:08","A002C006_230418_R073","","0","","","","-14.7","20.6","ARRI ALEXA Mini"
"21:11:32:09","A002C006_230418_R073","","0","","","","-14.7","20.9","ARRI ALEXA Mini"
